cct_id,show_id,show,show_ja,date,episode,segment,name_ja,name_en,description_ja,metadata,cct_permalink,cct_url,subbed,cct_link,cct_index
gakinotsukai_19891003_1_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-10-03,1,0,偉いさん・医者・クイズ,Manzai,客の態度→客の表情→大阪での話→公開番組はテレビで見るべき→圭修のネタ後にあった話→早く喋ってしまう→ちょっと緊張してた,,1-1-en,https://chikichiki.tube/gakinotsukai/video/1-1-en,True,"<a href=""https://chikichiki.tube/gakinotsukai/video/1-1-en"">VTR</a>",gakinotsukai-1-1
gakinotsukai_19891010_2_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-10-10,2,0,難民・てるおはるお・さかさことばクイズ,Refugees and Akio Haruo Sakasakotoba quiz,東京と大阪の違い→東京のいい所→浜田風邪を引く→漫才は何回までやる,,2-1-ja,https://chikichiki.tube/gakinotsukai/video/2-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/2-1-ja"">VTR</a>",gakinotsukai-2-1
gakinotsukai_19891017_3_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-10-17,3,0,『あ』研究家,A researcher,大阪に来るのに飛行機が楽か新幹線が楽か→[ハガキ]二人はB21のことが嫌いなんですか？ウッチャンナンチャンとB21スペシャルどっちが好きですか？→新聞欄を見るとガキ使いとしか書いてない場合がある→せっかく夜中の番組をやるんだからおもいっきり引いてしまうネタを期待している,,3-1-ja,https://chikichiki.tube/gakinotsukai/video/3-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/3-1-ja"">VTR</a>",gakinotsukai-3-1
gakinotsukai_19891024_4_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-10-24,4,0,新宿二丁目に潜入・野球,TV anime,腹の立つ話→松本が空港で切れた話→[ハガキ]浜ちゃんのなんやそれは！というツッコミ、それにつぶらな瞳、可愛い下唇たらこが好きです。今度一緒に遊ぼうよ,,4-1-ja,https://chikichiki.tube/gakinotsukai/video/4-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/4-1-ja"">VTR</a>",gakinotsukai-4-1
gakinotsukai_19891031_5_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-10-31,5,0,心霊写真・こわい話,Shutter scary story,大阪と東京の発音の違い→[ハガキ]これからもずっと漫才をやっていくのでしょうか？ネタは尽きないのでしょうか？,,5-1-ja,https://chikichiki.tube/gakinotsukai/video/5-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/5-1-ja"">VTR</a>",gakinotsukai-5-1
gakinotsukai_19891107_6_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-11-07,6,0,暴走族・誘拐,Motorcycle gang and kidnapping,痛い素人に声かけらた→痛いファン→どちらのファンの方が痛いか→[ハガキ]まさとし様とやりたい、ババぬきが,,6-1-ja,https://chikichiki.tube/gakinotsukai/video/6-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/6-1-ja"">VTR</a>",gakinotsukai-6-1
gakinotsukai_19891114_7_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-11-14,7,0,マリック・食いしん坊,Malik gluttonous,駐車場が取られない→駐車場を取る方法→別番組でオンエアにならなかったコントを放送→[ハガキ]いてまうとはどういう意味か？,,7-1-ja,https://chikichiki.tube/gakinotsukai/video/7-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/7-1-ja"">VTR</a>",gakinotsukai-7-1
gakinotsukai_19891121_8_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-11-21,8,0,いたずら電話・ファッション,Prank phone Fashion,東京の子に貰うファンレター→[ハガキ]浜ちゃんには彼女がいることは皆知っているけど、松ちゃんにはいないの？→ディスコで松本がしてる話→大阪弁講座→大阪と東京の呼び方,,8-1-ja,https://chikichiki.tube/gakinotsukai/video/8-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/8-1-ja"">VTR</a>",gakinotsukai-8-1
gakinotsukai_19891128_9_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-11-28,9,0,子供電話相談室,Children phone consultation room,新ネタをテレビでやる緊張感→今日体力的に辛い状態→究極の選択、名前がないかピヨピヨ丸という名前→[ハガキ]食べることを大阪弁で何というか？,,9-1-ja,https://chikichiki.tube/gakinotsukai/video/9-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/9-1-ja"">VTR</a>",gakinotsukai-9-1
gakinotsukai_19891205_10_0,gakinotsukai,GAKI NO TSUKAI,ダウンタウンのガキの使いやあらへんで!!,1989-12-05,10,0,ウララとキララ,Urara and Killala,新大阪の駅であったこと→バンカラ→ファンが部屋の中に入ってきたことがある→松本が家にやられたイタズラ→[ハガキ]松本さんはUFOの体験があるんですか？→松ちゃんはホモなんですか？私の友達が松ちゃんはホモだと言っています,,10-1-ja,https://chikichiki.tube/gakinotsukai/video/10-1-ja,,"<a href=""https://chikichiki.tube/gakinotsukai/video/10-1-ja"">VTR</a>",gakinotsukai-10-1
