cctid,show_id,show,show_ja,date,episode,segment,name_ja,description_ja,metadata,playlist,subbed,ccturl
gakinotsukai_19891003_1_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-10-03,1,0,偉いさん・医者・クイズ,,"{""opening_jp"":""客の態度→客の表情→大阪での話→公開番組はテレビで見るべき→圭修のネタ後にあった話→早く喋ってしまう→ちょっと緊張してた""}",,,https://chikichiki.tube/gakinotsukai/video/1-1-ja
gakinotsukai_19891010_2_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-10-10,2,0,難民・てるおはるお・さかさことばクイズ,,"{""opening_jp"":""東京と大阪の違い→東京のいい所→浜田風邪を引く→漫才は何回までやる""}",,,https://chikichiki.tube/gakinotsukai/video/2-1-ja
gakinotsukai_19891017_3_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-10-17,3,0,『あ』研究家,,"{""opening_jp"":""大阪に来るのに飛行機が楽か新幹線が楽か→[ハガキ]二人はB21のことが嫌いなんですか？ウッチャンナンチャンとB21スペシャルどっちが好きですか？→新聞欄を見るとガキ使いとしか書いてない場合がある→せっかく夜中の番組をやるんだからおもいっきり引いてしまうネタを期待している""}",,,https://chikichiki.tube/gakinotsukai/video/3-1-ja
gakinotsukai_19891024_4_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-10-24,4,0,新宿二丁目に潜入・野球,,"{""opening_jp"":""腹の立つ話→松本が空港で切れた話→[ハガキ]浜ちゃんのなんやそれは！というツッコミ、それにつぶらな瞳、可愛い下唇たらこが好きです。今度一緒に遊ぼうよ""}",,,https://chikichiki.tube/gakinotsukai/video/4-1-ja
gakinotsukai_19891031_5_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-10-31,5,0,心霊写真・こわい話,,"{""opening_jp"":""大阪と東京の発音の違い→[ハガキ]これからもずっと漫才をやっていくのでしょうか？ネタは尽きないのでしょうか？""}",,,https://chikichiki.tube/gakinotsukai/video/5-1-ja
gakinotsukai_19891107_6_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-11-07,6,0,暴走族・誘拐,,"{""opening_jp"":""痛い素人に声かけらた→痛いファン→どちらのファンの方が痛いか→[ハガキ]まさとし様とやりたい、ババぬきが""}",,,https://chikichiki.tube/gakinotsukai/video/6-1-ja
gakinotsukai_19891114_7_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-11-14,7,0,マリック・食いしん坊,,"{""opening_jp"":""駐車場が取られない→駐車場を取る方法→別番組でオンエアにならなかったコントを放送→[ハガキ]いてまうとはどういう意味か？""}",,,https://chikichiki.tube/gakinotsukai/video/7-1-ja
gakinotsukai_19891121_8_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-11-21,8,0,いたずら電話・ファッション,,"{""opening_jp"":""東京の子に貰うファンレター→[ハガキ]浜ちゃんには彼女がいることは皆知っているけど、松ちゃんにはいないの？→ディスコで松本がしてる話→大阪弁講座→大阪と東京の呼び方""}",,,https://chikichiki.tube/gakinotsukai/video/8-1-ja
gakinotsukai_19891128_9_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-11-28,9,0,子供電話相談室,,"{""opening_jp"":""新ネタをテレビでやる緊張感→今日体力的に辛い状態→究極の選択、名前がないかピヨピヨ丸という名前→[ハガキ]食べることを大阪弁で何というか？""}",,,https://chikichiki.tube/gakinotsukai/video/9-1-ja
gakinotsukai_19891205_10_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-12-05,10,0,ウララとキララ,,"{""opening_jp"":""新大阪の駅であったこと→バンカラ→ファンが部屋の中に入ってきたことがある→松本が家にやられたイタズラ→[ハガキ]松本さんはUFOの体験があるんですか？→松ちゃんはホモなんですか？私の友達が松ちゃんはホモだと言っています""}",,,https://chikichiki.tube/gakinotsukai/video/10-1-ja
gakinotsukai_19891212_11_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-12-12,11,0,線で遊ぼう,,"{""opening_jp"":""分数→漢字→[ハガキ]私は松ちゃんと浜ちゃんの生写真を持っています。結構古い物で浜ちゃんは髪をセットしていないし松ちゃんはヒゲが伸びてて下の歯の一本が抜けているように見えます。これはいつ頃の写真でしょうか""}",,,https://chikichiki.tube/gakinotsukai/video/11-1-ja
gakinotsukai_19891219_12_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-12-19,12,0,刑事コント,,"{""opening_jp"":""タクシーの運転手→浜田に間違えられた""}",,,https://chikichiki.tube/gakinotsukai/video/12-1-ja
gakinotsukai_19891226_13_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1989-12-26,13,0,リポーター松本 浜田に突撃インタビュー,,"{""opening_jp"":""事務所に浜田の結婚を黙ってろと言われてた→[ハガキ]松ちゃん浜ちゃん、二人はOFFの日はなにをしているのですか→松本さんの家にファンがやってくるのは松本さんは人が良くて優しそうに見えるからじゃないですか？""}",,,https://chikichiki.tube/gakinotsukai/video/13-1-ja
gakinotsukai_19900109_14_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-01-09,14,0,留学生とチンピラ,,"{""opening_jp"":""髪→綺麗なホール→松本は子供が好きじゃない→犬は好き→今日はハガキで募集した客""}",,,https://chikichiki.tube/gakinotsukai/video/14-1-ja
gakinotsukai_19900116_15_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-01-16,15,0,ローリングサンダーマン,,"{""opening_jp"":""今年最後の収録→紅白どっちが勝つか""}",,,https://chikichiki.tube/gakinotsukai/video/15-1-ja
gakinotsukai_19900123_16_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-01-23,16,0,ガララニョロロでズームイン朝！,,"{""opening_jp"":""紅白の結果→ガララニョロロ→次の罰ゲーム→[ハガキ]私の友人の浜ちゃんファンは身長170cm、アゴがなく首からそのまま顔に繋がっているという感じで猫背です""}",,,https://chikichiki.tube/gakinotsukai/video/16-1-ja
gakinotsukai_19900130_17_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-01-30,17,0,仕事人,,"{""opening_jp"":""横浜→浜田がパチンコしてたら店員が気付いてた→人間は生まれたときから死ぬ結末は分かってる話→野性の動物→[ハガキ]お二人にお願いがあります。どうか僕を弟子にしてください→お互いのクセを教えてください""}",,,https://chikichiki.tube/gakinotsukai/video/17-1-ja
gakinotsukai_19900206_18_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-02-06,18,0,誘拐コント,,"{""opening_jp"":""前乗ったタクシーがスリップした→車""}",,,https://chikichiki.tube/gakinotsukai/video/18-1-ja
gakinotsukai_19900213_19_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-02-13,19,0,ダウンタウン、女子寮へ,,"{""opening_jp"":""学生寮には来たことない""}",,,https://chikichiki.tube/gakinotsukai/video/19-1-ja
gakinotsukai_19900220_20_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-02-20,20,0,激突！チキチキ三輪車マラソンレース,,"{""opening_jp"":""オープニングがひどい→東京駅にいる募金持ったやつ→男は思わずHな独り言を言ってしまう→ツッコミの職業病→飛行機で石川秀美を見かけて→[ハガキ]浜田さんがヤクザ上がりだという噂がありますが、本当であればツッコミの鋭さも納得です→罰ゲームでキユーピー3分クッキングに出演というのはいかがでしょうか""}",,,https://chikichiki.tube/gakinotsukai/video/20-1-ja
gakinotsukai_19900227_21_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-02-27,21,0,体はいやー！おばさん登場,,"{""opening_jp"":""今日はまだ時間が浅い→雨男→お笑い第3世代はマジメ→夢で逢えたらチームでサイパンに行った時の話→[ハガキ]二人のバレンタインの秘話を教えて下さい→近所の会館に来てほしい→ものまねコーナー""}",,,https://chikichiki.tube/gakinotsukai/video/21-1-ja
gakinotsukai_19900306_22_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-03-06,22,0,激突！チキチキがっちり買いましょう,,"{""opening_jp"":""この番組は見に来たくなくても来てる客がいる→東京の人は地震に慣れてる→[ハガキ]松ちゃんの本名は雪之丞と聞きました→浜ちゃんの高校時代の寮生活の思い出を聞かせて→クラスでダウンタウン、ウンナン、B21に関するアンケートを取りました""}",,,https://chikichiki.tube/gakinotsukai/video/22-1-ja
gakinotsukai_19900313_23_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-03-13,23,0,激突！チキチキ恐面くんを探せ！,,"{""opening_jp"":""今日は新幹線ではやく帰らないといけない→ほんまはもっと喋ってるけど編集で短くされてる→番組の企画でタイ万国にそっくりさんを探しに行った→お前はフィリピン系→新田マネージャーのコーディネート募集→[ハガキ]『欽ドン！ハッケヨーイ笑った！』に二人は出ていたと聞きましたが本当ですか？→ものまねコーナー""}",,,https://chikichiki.tube/gakinotsukai/video/23-1-ja
gakinotsukai_19900320_24_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-03-20,24,0,体はいやー！おばさん鬼ごっこ大会,,"{""opening_jp"":""前説がお客さんを冷めさせる→低血圧のイライラ→喫茶店でメニューを間違えられた→朝起きられない→体がピクピクする→髪の毛は生きている→熱いお茶を飲むと｢あぁ｣と言ってしまう→[ハガキ]2月20日放送のハガキコーナーで松ちゃんの話が途中で変わってしまいましたが何を話そうとしていたのですか？→浜ちゃんは最近太ってきた？→ものまねコーナー""}",,,https://chikichiki.tube/gakinotsukai/video/24-1-ja
gakinotsukai_19900327_25_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-03-27,25,0,無し(松ちゃんの遅刻でお流れ),,"{""opening_jp"":""こんだけ低予算の番組ない→中身のある話をしたい→口半開きで寝る浜田、目半開きで寝る松本→[ハガキ]お二人が出演していたミスタードーナツのCM覚えています(CM観賞)→高校時代の松本さんは泣く子も黙ると言われるほど恐れられていたと聞きました→ものまねコーナー""}",,,https://chikichiki.tube/gakinotsukai/video/25-1-ja
gakinotsukai_19900403_26_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-04-03,26,0,熱海インディーの秘宝チキチキ発掘大作戦,,"{""opening_jp"":""[ハガキ]新田さんをあまりイジメないであげてください→人気はどちらがあるのですか？→クイズです。象を冷蔵庫に入れる3つの条件とは？続けてキリンを冷蔵庫に入れる4つの条件とは？""}",,,https://chikichiki.tube/gakinotsukai/video/26-1-ja
gakinotsukai_19900410_27_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-04-10,27,0,激突チキチキ新田コーディネート大作戦！,,"{""opening_jp"":""浜田が寿司屋の出前の親父にキレた→松本がタクシー運転手にキレた→飲食店で品物に虫が混入してたらどうする→地下鉄で二人の足を踏んでも謝らなかったおっさんを蹴り倒した話→[ハガキ]中学の頃二人は六甲牧場を駆け下りて死にそうになったらしいですがどうして駆け下りたのですか→松本さんの好きなタイプを教えて下さい""}",,,https://chikichiki.tube/gakinotsukai/video/27-1-ja
gakinotsukai_19900417_28_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-04-17,28,0,チキチキ綱引き大合戦,,"{""opening_jp"":""しりとりで何を言われても｢す｣で返すことができる→子供の頃の遊び→[ハガキ]二人が学生の頃にやっていた時間差攻撃という遊びを教えてください→罰ゲームをかけたしりとり対決をしたい""}",,,https://chikichiki.tube/gakinotsukai/video/28-1-ja
gakinotsukai_19900424_29_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-04-24,29,0,チキチキわらしべ長者大合戦！,,"{""opening_jp"":""自宅マンションに来るブサイクな女のファン→罰ゲームをかけたしりとり対決→[ハガキ]教科書に掲載されている写真に浜ちゃんに似ている人が写っています""}",,,https://chikichiki.tube/gakinotsukai/video/29-1-ja
gakinotsukai_19900501_30_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-05-01,30,0,100万円はもらったも同然だ!! メイキング・オブ・仮装大賞（カメレオンで不合格）,,"{""opening_jp"":""[ハガキ]コンサートはやらないのですか？レコードはもう出さないのですか？→ものまねコーナー""}",,,https://chikichiki.tube/gakinotsukai/video/30-1-ja
gakinotsukai_19900508_31_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-05-08,31,0,罰ゲーム・SM亀甲縛りアルタ画面で番組宣伝!!,,"{""opening_jp"":""[ハガキ]二人は誰かと間違われたことはありますか→人間観察は面白い""}",,,https://chikichiki.tube/gakinotsukai/video/31-1-ja
gakinotsukai_19900515_32_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-05-15,32,0,イカすのど自慢天国大合戦!!,,"{""opening_jp"":""浜田の衣装が汚い→東武動物公園での余興(営業)の話→グリーンピア三木での営業の話→交通事故の話→[ハガキ]小学校3年生の弟がダウンタウンに弟子入りしたいと言い出しました。どうか返事をしてあげてください→お二人は学生時代にあまり思い入れがないのですか？面白い昔話があったら話してください→奥さんを誘拐した犯人が松ちゃんを殺せと要求してきたら浜ちゃんはどうしますか？→松ちゃんは野沢直子と仲が良い？""}",,,https://chikichiki.tube/gakinotsukai/video/32-1-ja
gakinotsukai_19900522_33_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-05-22,33,0,激突チキチキスターボーリング,,"{""opening_jp"":""プロ野球が盛り上がっている→芸能界におけるコメディアンの地位→野球のルールに納得がいかない→早口言葉に納得がいかない[ハガキ]学校をズル休みしてまで浜ちゃんの出待ちをするも会えませんでした。励みにGジャンをください→寒い(のでGジャンをください)→究極の選択。辞めるならどっち？笑っていいともとガキの使い→どっちかを殴れと言われたら？西川きよしと桂三枝→4、5年前にダウンタウンが出ていたひょうきん予備校に清川虹子さんがゲストで来たときにキスの犠牲になった二人の内の一人が松っちゃんだった気がするのですがどうでしょうか？""}",,,https://chikichiki.tube/gakinotsukai/video/33-1-ja
