cctid,showcode,show,date,segment,episode,description_ja,name_ja,metadata,showid,detective,location,requester,order,topic.jp,topic.en,topic.en_d,subbed.status,episode.date,episode.year,episode.number,episode.host,subbed.subfile,topic.jp_n,topic.en_n,topic.en_f,segmentid
gakinotsukai_19891003_1_0,gakinotsukai,Gaki no Tsukai,1989-10-03,0,1,,偉いさん・医者・クイズ,"{""opening_jp"":""客の態度→客の表情→大阪での話→公開番組はテレビで見るべき→圭修のネタ後にあった話→早く喋ってしまう→ちょっと緊張してた""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891010_2_0,gakinotsukai,Gaki no Tsukai,1989-10-10,0,2,,難民・てるおはるお・さかさことばクイズ,"{""opening_jp"":""東京と大阪の違い→東京のいい所→浜田風邪を引く→漫才は何回までやる""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891017_3_0,gakinotsukai,Gaki no Tsukai,1989-10-17,0,3,,『あ』研究家,"{""opening_jp"":""大阪に来るのに飛行機が楽か新幹線が楽か→[ハガキ]二人はB21のことが嫌いなんですか？ウッチャンナンチャンとB21スペシャルどっちが好きですか？→新聞欄を見るとガキ使いとしか書いてない場合がある→せっかく夜中の番組をやるんだからおもいっきり引いてしまうネタを期待している""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891024_4_0,gakinotsukai,Gaki no Tsukai,1989-10-24,0,4,,新宿二丁目に潜入・野球,"{""opening_jp"":""腹の立つ話→松本が空港で切れた話→[ハガキ]浜ちゃんのなんやそれは！というツッコミ、それにつぶらな瞳、可愛い下唇たらこが好きです。今度一緒に遊ぼうよ""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891031_5_0,gakinotsukai,Gaki no Tsukai,1989-10-31,0,5,,心霊写真・こわい話,"{""opening_jp"":""大阪と東京の発音の違い→[ハガキ]これからもずっと漫才をやっていくのでしょうか？ネタは尽きないのでしょうか？""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891107_6_0,gakinotsukai,Gaki no Tsukai,1989-11-07,0,6,,暴走族・誘拐,"{""opening_jp"":""痛い素人に声かけらた→痛いファン→どちらのファンの方が痛いか→[ハガキ]まさとし様とやりたい、ババぬきが""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891114_7_0,gakinotsukai,Gaki no Tsukai,1989-11-14,0,7,,マリック・食いしん坊,"{""opening_jp"":""駐車場が取られない→駐車場を取る方法→別番組でオンエアにならなかったコントを放送→[ハガキ]いてまうとはどういう意味か？""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891121_8_0,gakinotsukai,Gaki no Tsukai,1989-11-21,0,8,,いたずら電話・ファッション,"{""opening_jp"":""東京の子に貰うファンレター→[ハガキ]浜ちゃんには彼女がいることは皆知っているけど、松ちゃんにはいないの？→ディスコで松本がしてる話→大阪弁講座→大阪と東京の呼び方""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891128_9_0,gakinotsukai,Gaki no Tsukai,1989-11-28,0,9,,子供電話相談室,"{""opening_jp"":""新ネタをテレビでやる緊張感→今日体力的に辛い状態→究極の選択、名前がないかピヨピヨ丸という名前→[ハガキ]食べることを大阪弁で何というか？""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891205_10_0,gakinotsukai,Gaki no Tsukai,1989-12-05,0,10,,ウララとキララ,"{""opening_jp"":""新大阪の駅であったこと→バンカラ→ファンが部屋の中に入ってきたことがある→松本が家にやられたイタズラ→[ハガキ]松本さんはUFOの体験があるんですか？→松ちゃんはホモなんですか？私の友達が松ちゃんはホモだと言っています""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891212_11_0,gakinotsukai,Gaki no Tsukai,1989-12-12,0,11,,線で遊ぼう,"{""opening_jp"":""分数→漢字→[ハガキ]私は松ちゃんと浜ちゃんの生写真を持っています。結構古い物で浜ちゃんは髪をセットしていないし松ちゃんはヒゲが伸びてて下の歯の一本が抜けているように見えます。これはいつ頃の写真でしょうか""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891219_12_0,gakinotsukai,Gaki no Tsukai,1989-12-19,0,12,,刑事コント,"{""opening_jp"":""タクシーの運転手→浜田に間違えられた""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19891226_13_0,gakinotsukai,Gaki no Tsukai,1989-12-26,0,13,,リポーター松本 浜田に突撃インタビュー,"{""opening_jp"":""事務所に浜田の結婚を黙ってろと言われてた→[ハガキ]松ちゃん浜ちゃん、二人はOFFの日はなにをしているのですか→松本さんの家にファンがやってくるのは松本さんは人が良くて優しそうに見えるからじゃないですか？""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19900109_14_0,gakinotsukai,Gaki no Tsukai,1990-01-09,0,14,,留学生とチンピラ,"{""opening_jp"":""髪→綺麗なホール→松本は子供が好きじゃない→犬は好き→今日はハガキで募集した客""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19900116_15_0,gakinotsukai,Gaki no Tsukai,1990-01-16,0,15,,ローリングサンダーマン,"{""opening_jp"":""今年最後の収録→紅白どっちが勝つか""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19900123_16_0,gakinotsukai,Gaki no Tsukai,1990-01-23,0,16,,ガララニョロロでズームイン朝！,"{""opening_jp"":""紅白の結果→ガララニョロロ→次の罰ゲーム→[ハガキ]私の友人の浜ちゃんファンは身長170cm、アゴがなく首からそのまま顔に繋がっているという感じで猫背です""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19900130_17_0,gakinotsukai,Gaki no Tsukai,1990-01-30,0,17,,仕事人,"{""opening_jp"":""横浜→浜田がパチンコしてたら店員が気付いてた→人間は生まれたときから死ぬ結末は分かってる話→野性の動物→[ハガキ]お二人にお願いがあります。どうか僕を弟子にしてください→お互いのクセを教えてください""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19900206_18_0,gakinotsukai,Gaki no Tsukai,1990-02-06,0,18,,誘拐コント,"{""opening_jp"":""前乗ったタクシーがスリップした→車""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19900213_19_0,gakinotsukai,Gaki no Tsukai,1990-02-13,0,19,,ダウンタウン、女子寮へ,"{""opening_jp"":""学生寮には来たことない""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19900220_20_0,gakinotsukai,Gaki no Tsukai,1990-02-20,0,20,,激突！チキチキ三輪車マラソンレース,"{""opening_jp"":""オープニングがひどい→東京駅にいる募金持ったやつ→男は思わずHな独り言を言ってしまう→ツッコミの職業病→飛行機で石川秀美を見かけて→[ハガキ]浜田さんがヤクザ上がりだという噂がありますが、本当であればツッコミの鋭さも納得です→罰ゲームでキユーピー3分クッキングに出演というのはいかがでしょうか""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19900227_21_0,gakinotsukai,Gaki no Tsukai,1990-02-27,0,21,,体はいやー！おばさん登場,"{""opening_jp"":""今日はまだ時間が浅い→雨男→お笑い第3世代はマジメ→夢で逢えたらチームでサイパンに行った時の話→[ハガキ]二人のバレンタインの秘話を教えて下さい→近所の会館に来てほしい→ものまねコーナー""}",,,,,,,,,,,,,,,,,,
gakinotsukai_19900306_22_0,gakinotsukai,Gaki no Tsukai,1990-03-06,0,22,,激突！チキチキがっちり買いましょう,"{""opening_jp"":""この番組は見に来たくなくても来てる客がいる→東京の人は地震に慣れてる→[ハガキ]松ちゃんの本名は雪之丞と聞きました→浜ちゃんの高校時代の寮生活の思い出を聞かせて→クラスでダウンタウン、ウンナン、B21に関するアンケートを取りました""}",,,,,,,,,,,,,,,,,,
