,folder,channel,type,filename,path,subbed,language,name,filetype,hardsub,episode,permalink,name_en,date,segment,name_ja,episode_id,date_id,peertubeid,cct_id,newpath,uploaded,langcheck,in_en,subs_burnt
0,subbed,ashitagaarusa,episode,#01.avi,subbed/ashitagaarusa/episode/#01.avi,True,en,#01,avi,False,1,1-1-en,,2001-04-21,0,,ashitagaarusa1_0,,ashitagaarusa-1-1-en,ashitagaarusa_20010421_1_0,episode/ashitagaarusa_20010421_1_0_en.avi,True,ashitagaarusa2001-04-21,True,False
1,subbed,ashitagaarusa,episode,#02.avi,subbed/ashitagaarusa/episode/#02.avi,True,en,#02,avi,False,2,2-1-en,,2001-04-28,0,,ashitagaarusa2_0,,ashitagaarusa-2-1-en,ashitagaarusa_20010428_2_0,episode/ashitagaarusa_20010428_2_0_en.avi,True,ashitagaarusa2001-04-28,True,False
2,subbed,ashitagaarusa,episode,#03.avi,subbed/ashitagaarusa/episode/#03.avi,True,en,#03,avi,False,3,3-1-en,,2001-05-05,0,,ashitagaarusa3_0,,ashitagaarusa-3-1-en,ashitagaarusa_20010505_3_0,episode/ashitagaarusa_20010505_3_0_en.avi,True,ashitagaarusa2001-05-05,True,False
3,subbed,ashitagaarusa,episode,#04.avi,subbed/ashitagaarusa/episode/#04.avi,True,en,#04,avi,False,4,4-1-en,,2001-05-12,0,,ashitagaarusa4_0,,ashitagaarusa-4-1-en,ashitagaarusa_20010512_4_0,episode/ashitagaarusa_20010512_4_0_en.avi,True,ashitagaarusa2001-05-12,True,False
4,subbed,ashitagaarusa,episode,#05.avi,subbed/ashitagaarusa/episode/#05.avi,True,en,#05,avi,False,5,5-1-en,,2001-05-19,0,,ashitagaarusa5_0,,ashitagaarusa-5-1-en,ashitagaarusa_20010519_5_0,episode/ashitagaarusa_20010519_5_0_en.avi,True,ashitagaarusa2001-05-19,True,False
5,subbed,ashitagaarusa,episode,#06.avi,subbed/ashitagaarusa/episode/#06.avi,True,en,#06,avi,False,6,6-1-en,,2001-05-26,0,,ashitagaarusa6_0,,ashitagaarusa-6-1-en,ashitagaarusa_20010526_6_0,episode/ashitagaarusa_20010526_6_0_en.avi,True,ashitagaarusa2001-05-26,True,False
6,subbed,ashitagaarusa,episode,#07.avi,subbed/ashitagaarusa/episode/#07.avi,True,en,#07,avi,False,7,7-1-en,,2001-06-02,0,,ashitagaarusa7_0,,ashitagaarusa-7-1-en,ashitagaarusa_20010602_7_0,episode/ashitagaarusa_20010602_7_0_en.avi,True,ashitagaarusa2001-06-02,True,False
7,subbed,ashitagaarusa,episode,#08.mp4,subbed/ashitagaarusa/episode/#08.mp4,True,en,#08,mp4,False,8,8-1-en,,2001-06-09,0,,ashitagaarusa8_0,,ashitagaarusa-8-1-en,ashitagaarusa_20010609_8_0,episode/ashitagaarusa_20010609_8_0_en.mp4,True,ashitagaarusa2001-06-09,True,True
8,subbed,ashitagaarusa,episode,#10.mp4,subbed/ashitagaarusa/episode/#10.mp4,True,en,#10,mp4,False,10,10-1-en,,2001-06-23,0,,ashitagaarusa10_0,,ashitagaarusa-10-1-en,ashitagaarusa_20010623_10_0,episode/ashitagaarusa_20010623_10_0_en.mp4,True,ashitagaarusa2001-06-23,True,True
9,subbed,ashitagaarusa,episode,#11.mp4,subbed/ashitagaarusa/episode/#11.mp4,True,en,#11,mp4,False,11,11-1-en,,2001-06-30,0,,ashitagaarusa11_0,,ashitagaarusa-11-1-en,ashitagaarusa_20010630_11_0,episode/ashitagaarusa_20010630_11_0_en.mp4,True,ashitagaarusa2001-06-30,True,True
10,subbed,documental,episode,S01E01 - 10 Brave Participants.mp4,subbed/documental/episode/S01E01 - 10 Brave Participants.mp4,True,en,S01E01 - 10 Brave Participants,mp4,False,S01E01,S01E01-1-en,10 Brave Participants,2016-11-30,0,,documentalS01E01_0,,documental-S01E01-1-en,documental_20161130_S01E01_0,episode/documental_20161130_S01E01_0_en.mp4,True,documental2016-11-30,True,True
11,subbed,documental,episode,S01E02 - First Dropout.mp4,subbed/documental/episode/S01E02 - First Dropout.mp4,True,en,S01E02 - First Dropout,mp4,False,S01E02,S01E02-1-en,First Dropout,2016-12-07,0,,documentalS01E02_0,,documental-S01E02-1-en,documental_20161207_S01E02_0,episode/documental_20161207_S01E02_0_en.mp4,True,documental2016-12-07,True,True
