,date,name,description_ja,season,episode,show_id,show,show_ja
0,2016-11-30, 1. 勇敢な10人の参加者 ,芸人達の元に松本人志から“ドキュメンタル”の招待状が突然届く。招待状を手にした者は驚き、戸惑い、喜び、苦悩する。このバトルに参加するのかしないのか、参加費100万円をどう工面するのか。それぞれが葛藤する。そして勇敢な10人の参加者が一堂に会し、いよいよドキュメンタルの火蓋が切って落とされる。出演者：ジミー大西、FUJIWARA 藤本敏史、宮川大輔、野性爆弾 くっきー、ダイノジ 大地洋輔、東京ダイナマイト ハチミツ二郎、とろサーモン 久保田和靖、天竺鼠 川原克己、トレンディエンジェル 斎藤司、マテンロウ アントニー(C)2016 YD Creation,1,S01E01,documental,DOCUMENTAL,ドキュメンタル
1,2016-12-07, 2. 最初の脱落者は？ ,開始早々にイエローカードが出たことで戦いは一気にヒートアップ。ジミー大西が果敢に勝負をしかけるが、逆に他の芸人から集中攻撃を受けることに。小道具を使う者、細かい突っ込みを入れ続ける者、全員がそれぞれの技を繰り出す中、その何とも言えない空気に耐え切れない最初の脱落者が・・・。(C)2016 YD Creation,1,S01E02,documental,DOCUMENTAL,ドキュメンタル
2,2016-12-14, 3. 脱落者続出 ,脱落者が出たことで高まる緊張感。その中、宮川大輔が仕掛けにかかる。それに触発され、他の芸人達も次々と新たな笑いを仕掛け笑ってしまう者が続出。密室から一人また一人と脱落者が退場するごとにバトルは白熱していく。(C)2016 YD Creation,1,S01E03,documental,DOCUMENTAL,ドキュメンタル
3,2016-12-21, 4. 死闘 ,参加者が半数以下になった密室に緊張感が漂う。制限時間が迫る中、追い詰められた芸人達の壮絶なラッシュが始まる。そして戦いは人間性を捨てようとする暴挙へと至る。果たして賞金1000万円をめぐる戦いの結末は？(C)2016 YD Creation,1,S01E04,documental,DOCUMENTAL,ドキュメンタル
4,2017-04-26, 1. 新たなる闘いのはじまり ,松本人志から、再び招待状が送られる。今回は松本の新たな企みの元、芸人達が選考された。シーズン１の影響で、招待状の“意味”をすぐに理解する芸人達。参加費の100万円を捻出できるのかとドキュメンタルのステージに立ちたいという芸人魂が交錯する。笑いの格闘技に挑戦する10人が決まり、新たな闘いが幕を開ける。出演者：ジミー大西、FUJIWARA 藤本敏史、宮川大輔、バナナマン 日村勇紀、アンジャッシュ 児嶋一哉、バイきんぐ 小峠英二、森三中 大島美幸、平成ノブシコブシ 吉村崇、ダイアン 津田篤宏、ジャングルポケット 斉藤慎二(C)2017 YD Creation,2,S02E01,documental,DOCUMENTAL,ドキュメンタル
5,2017-05-03, 2. 激しい攻防戦 ,笑わせなければ勝者にはなれない。新ルールの効果なのか、用意したとんでもない小道具も駆使し、次々に笑いを仕掛ける芸人達。笑いを堪え、そして攻撃する激しい攻防が続く。怒涛の闘いの中、一瞬の気の緩みから自爆する者が。予想外の男が最初の脱落者となる。(C)2017 YD Creation,2,S02E02,documental,DOCUMENTAL,ドキュメンタル
6,2017-05-10, 3. 小窓 ,開始から１時間半が経過するも、まだ脱落者が１名しかでていない状況に焦る芸人達。自分が笑わないことはもちろん、笑わせてポイントを稼がなければ勝者にはなれない。小道具や、今シーズンから導入された密室内の「小窓」を使って笑いを仕掛ける。果敢に攻める芸人達。そして脱落者が続出する。(C)2017 YD Creation,2,S02E03,documental,DOCUMENTAL,ドキュメンタル
7,2017-05-17, 4. 迫り来る時間 ,一人、また一人と脱落者が増える中、果敢に攻める芸人達。笑いを仕掛けることは自ら笑うリスクを冒すこと。しかし、新ルールでは仕掛け、ポイントを獲得しなければ勝てない。終了時間が迫り、賞金1000万が見えてきたことで、さらに闘いは過酷に。(C)2017 YD Creation,2,S02E04,documental,DOCUMENTAL,ドキュメンタル
8,2017-05-24, 5. 最後の勝者 ,制限時間ラスト10分。残る2人の死闘が始まる。芸人としてのプライドが、賞金への欲望がぶつかり合う、壮絶な闘い。果たして相手を笑わせることが出来るのか。そしてついに栄誉ある優勝者が決定する！(C)2017 YD Creation,2,S02E05,documental,DOCUMENTAL,ドキュメンタル
9,2017-08-02, 1. 新たなる挑戦者たち ,今回も松本人志から招待状が届けられた。待っていましたと喜ぶ者。この僕に・・・と驚く者。どうしようと悩む者。そして勇気ある１０人の芸人が集まった。シーズン３でも新ルールを採用。果たして勝負にどう影響を及ぼすのか。参加費100万円を握りしめて、挑戦者たちが舞台へ上がる。出演者：極楽とんぼ 山本圭壱、TKO 木下隆行、ケンドーコバヤシ、野性爆弾 くっきー、フットボールアワー 後藤輝基、レイザーラモンRG、サンドウィッチマン 伊達みきお、ロバート 秋山竜次、オードリー 春日俊彰、プラス・マイナス 岩橋良昌 (C)2017 YD Creation,3,S03E01,documental,DOCUMENTAL,ドキュメンタル
10,2017-08-09, 2. 技の応酬 ,開始早々にイエローカードが出されたことで芸人魂に火が付いた。それぞれが持ち込んだ小道具を駆使し、息つく暇なく技を仕掛け、攻める耐えるが繰り返される。しかし攻めることで自爆することも…。激しい技の応酬で警告カードが出まくる中、予想外の男が最初の脱落者となる。(C)2017 YD Creation,3,S03E02,documental,DOCUMENTAL,ドキュメンタル
11,2017-08-16, 3. メンタルの闘い ,闘いも中盤を迎え、さらに過熱していく芸人達。面白いのか、面白くないのか。誰も笑わない空間にメンタルをやられていく。それでもひたすら技を仕掛けていくしかない。突発的な出来事に堪えられず吹き出す者、技を仕掛けて返り討ちにあう者など脱落者が続出する。(C)2017 YD Creation,3,S03E03,documental,DOCUMENTAL,ドキュメンタル
12,2017-08-23, 4. ゾンビタイム発動 ,激しい応酬で半数になった参加者。そしてついに今シーズンからの新ルール“ ゾンビタイム”が発動された。本戦で出し切れなかったものを一人で、またはチームとなって繰 り出してくるゾンビたち。その強烈な破壊力で脱落者が続出する。(C)2017 YD Creation,3,S03E04,documental,DOCUMENTAL,ドキュメンタル
13,2017-08-30, 5. 勝利の行方 ,残った二人の勇者に最強のゾンビ軍団が次々と襲いかかる。優勝の栄誉と賞金を掴みたい二人と、意地を見せるゾンビたち。そして残った者同士の１対１の闘い。激しいバトルの末、果たして二人のうちどちらかが優勝するのか？あるいはゾンビが勝ちノーコンテストか？(C)2017 YD Creation,3,S03E05,documental,DOCUMENTAL,ドキュメンタル
14,2021-06-04, 1. 想定外の挑戦者 ,松本人志から招待状が届けられた。今回は初めての試み、コンビでの参戦を企てた松本。もちろん、お互い相方が来ることは知らない。果たしてどのような展開になるのか。いつもにも増して、うっすらと漂う「笑い」の雰囲気に、開始早々、ペナルティーカードが飛び出す。出演者：雨上がり決死隊 宮迫博之、FUJIWARA 藤本敏史、ずん 飯尾和樹、野性爆弾 くっきー、スピードワゴン 井戸田潤、千鳥 大悟、千鳥 ノブ、森三中 黒沢かずこ、ダイアン 西澤裕介、安田大サーカス クロちゃん (C)2017 YD Creation,4,S04E01,documental,DOCUMENTAL,ドキュメンタル
15,2021-06-04, 2. ペナルティカード続出 ,それぞれの芸人がここぞというタイミングで技を仕掛けてくる。それを耐えながらも、さらに変化球で打ち返す技の応酬が激化。一瞬の気の緩みが命取り、ペナルティカードが続出する。さらに、いじられることでその威力を発揮するクロちゃん。仕掛けた芸人が返り討ちにあう。(C)2017 YD Creation,4,S04E02,documental,DOCUMENTAL,ドキュメンタル
16,2021-06-04, 3. 過酷な時間 ,脱落者が出ないまま、中盤戦へと突入。しかし、ここで動きが。誰かが技を仕掛けると、それに乗っかり技をしかける芸人が多発。その技の連鎖に耐えられずついに最初の脱落者が。さらに、くっきーが得意の変身術で追い打ちをかける。参加者にとって過酷な時間が続く。(C)2017 YD Creation,4,S04E03,documental,DOCUMENTAL,ドキュメンタル
17,2021-06-04, 4. 全てをさらけ出す闘い ,すでに4時間近くが経過するも、脱落者はわずか1人。何が正解なのか、何が面白いのか！？大混乱の中、芸人たちが文字通り全てをさらけ出し、笑いのカオスへと突入する。(C)2017 YD Creation,4,S04E04,documental,DOCUMENTAL,ドキュメンタル
18,2021-06-04, 5. 最後の攻防 ,残り１時間。半数以上の芸人達が戦いを続ける中、ゾンビたちが怒涛の襲撃を開始。一人、また一人と脱落していく。ゾンビに耐え、他の芸人にも技を仕掛けていく、最後の攻防戦。果たして、優勝者はでるのか。(C)2017 YD Creation,4,S04E05,documental,DOCUMENTAL,ドキュメンタル
19,2018-04-20, 1. 波乱の幕開け ,笑うか笑わせるか…狂乱の宴が再び幕を開ける。今回は１人１回「助っ人」を持ち込める新システムを導入。果たしてどんな隠し球が飛び出すのか？シーズン５を迎え、松本人志は語る…「そろそろ瞬殺が見たい」。その言葉通り、メンバーが恐れる“最強の挑戦者”が、まさかのペナルティーカードを食らった！ (C)2018 YD Creation,5,S05E01,documental,DOCUMENTAL,ドキュメンタル
