,episode,date,name_ja,opening_ja,dupe_number,day_order
0,1,1989-10-03,偉いさん・医者・クイズ,客の態度→客の表情→大阪での話→公開番組はテレビで見るべき→圭修のネタ後にあった話→早く喋ってしまう→ちょっと緊張してた,1,1989-10-03-1.0
1,2,1989-10-10,難民・てるおはるお・さかさことばクイズ,東京と大阪の違い→東京のいい所→浜田風邪を引く→漫才は何回までやる,1,1989-10-10-1.0
2,3,1989-10-17,『あ』研究家,大阪に来るのに飛行機が楽か新幹線が楽か→[ハガキ]二人はB21のことが嫌いなんですか？ウッチャンナンチャンとB21スペシャルどっちが好きですか？→新聞欄を見るとガキ使いとしか書いてない場合がある→せっかく夜中の番組をやるんだからおもいっきり引いてしまうネタを期待している,1,1989-10-17-1.0
3,4,1989-10-24,新宿二丁目に潜入・野球,腹の立つ話→松本が空港で切れた話→[ハガキ]浜ちゃんのなんやそれは！というツッコミ、それにつぶらな瞳、可愛い下唇たらこが好きです。今度一緒に遊ぼうよ,1,1989-10-24-1.0
4,5,1989-10-31,心霊写真・こわい話,大阪と東京の発音の違い→[ハガキ]これからもずっと漫才をやっていくのでしょうか？ネタは尽きないのでしょうか？,1,1989-10-31-1.0
5,6,1989-11-07,暴走族・誘拐,痛い素人に声かけらた→痛いファン→どちらのファンの方が痛いか→[ハガキ]まさとし様とやりたい、ババぬきが,1,1989-11-07-1.0
6,7,1989-11-14,マリック・食いしん坊,駐車場が取られない→駐車場を取る方法→別番組でオンエアにならなかったコントを放送→[ハガキ]いてまうとはどういう意味か？,1,1989-11-14-1.0
7,8,1989-11-21,いたずら電話・ファッション,東京の子に貰うファンレター→[ハガキ]浜ちゃんには彼女がいることは皆知っているけど、松ちゃんにはいないの？→ディスコで松本がしてる話→大阪弁講座→大阪と東京の呼び方,1,1989-11-21-1.0
8,9,1989-11-28,子供電話相談室,新ネタをテレビでやる緊張感→今日体力的に辛い状態→究極の選択、名前がないかピヨピヨ丸という名前→[ハガキ]食べることを大阪弁で何というか？,1,1989-11-28-1.0
9,10,1989-12-05,ウララとキララ,新大阪の駅であったこと→バンカラ→ファンが部屋の中に入ってきたことがある→松本が家にやられたイタズラ→[ハガキ]松本さんはUFOの体験があるんですか？→松ちゃんはホモなんですか？私の友達が松ちゃんはホモだと言っています,1,1989-12-05-1.0
