date,description_ja,dupe_number,day_order
2010-10-03,今週のガキの使いは、これまで占い師・スタントマン・ホスト・考古学者とさまざまな顔を見せて来たピカデリー梅田が実は、ＵＦО研究家だったということが判明！これまでピカデリーが目撃した珍しいＵＦОを紹介したり、さらに、ＵＦＯの本場アメリカで放映されたというＵＦＯディレクター矢追純一との対談ＶＴＲを公開。また、ＵＦＯ業界のタブーに挑んだ現地取材ＶＴＲも公開！果たして、ＵＦＯの真実は今夜、明かされるのか！？,1,2010-10-03-1
2010-10-10,今週のガキの使いは、車を運転しながら見える景色やモノに対して、思いついた豆知識を披露していく 「ドライブ あっ！豆知識でＧＯ！ＧＯ！」東京を出発して国道1号線を神奈川方面に向かいひた走り全員で１００個出すまで戻れないというルール。松本が建物を見て思いついた豆知識とは？浜田がセブンイレブンを見て思いついた豆知識とは？山崎が東京タワーを見て思いついた豆知識とは？数字を見てココリコが思いついた豆知識とは？,1,2010-10-10-1
2010-10-17,今週のガキの使いは、先週に引き続き、車を運転しながら景色やモノを見ていて、思いついた豆知識を披露していく「ドライブあっ！豆知識でＧＯ！ＧＯ！」東京を出発して神奈川方面に向かい、全員で１００個出すまで引き返せないというルール。一行は行き詰まり横浜中華街を歩きながら店を見て回り、なんとか豆知識をひねり出す。５人がそれぞれ得意な分野でなんとか豆知識を出そうとするが、果たして、１００個出す事ができるのか！？,1,2010-10-17-1
2010-10-24,今週のガキの使いは、“ちょい悪オトコ”の代名詞・ジローラモが、ガキメンバーたちを忍者教室にご招待！オシャレな忍者ファッションショーを開催したり、イタリア美女とゲームを楽しんだり、極上のイタリアンピザを食べたり、アノ男がこれまでに行ってきた教室とは、大違いの楽しい訓練の数々を体験。しかし、そんな訓練を楽しんできたメンバーをアノ男＝村上ショージが黙っていなかった！！果たして、ショージの言い分は！？,1,2010-10-24-1
2010-10-31,今週のガキの使いは、収録に浜田が遅れて来るのを待っている間にメンバーたちから次々とありえない映像が持ち込まれる。なんと！それぞれのプライベート映像に浜田が映ってしまっているという。田中が引っ越そうと思って物件めぐりをしている時に回していた映像。遠藤がプライベートでゴルフに行った帰り、ファミレスで回していた映像。さらには、ライセンスが持って来た映像にも映ってしまっていた。果たして、衝撃映像の真相とは…！？,1,2010-10-31-1
2010-11-07,今週のガキの使いは、山崎から届いた招待状を頼りにダウンタウン、ココリコの4人が呼ばれた場所に行ってみると、そこはどこかで見た事がある懐かしいスタジオ。そして、往年の名司会者に導かれて登場したのはなんと！山口百恵！？彼女のデビューから引退までの華麗なるヒストリーを「横須賀ストーリー」「プレイバック　Ｐａｒt２」「美・サイレント」「さよならの向こう側」といった名曲と共に振り返る。,1,2010-11-07-1
2010-11-14,今週のガキの使いは、約１年ぶりの開催となるあの恒例企画。極限の緊張状態から己のテンションを一気に最高点まで持っていくハイテンショングランプリ。今回は、ハイテンションのみならず、ガキの使い自体に初登場となる芸人が続々登場！ピース、オードリーといった注目の若手芸人たちが一体、どんなハイテンションを披露するのか？,1,2010-11-14-1
2010-11-21,今週のガキの使いは、先週に引き続き、極限の緊張状態から己のテンションを一気に最高点まで持っていくハイテンショングランプリ。いよいよ上位にランクインした芸人たちが、登場する。上位者たちの中にも、ドランクドラゴン、サバンナ八木といったハイテンションを行うのが人生初となる芸人たちが登場。上位常連組も含め、一体、どんなハイテンションを披露するのか？,1,2010-11-21-1
2010-11-28,今週のガキの使いは、２０年以上に渡るガキの歴史の中で誕生した強烈なキャラクターたちの名場面を一挙大公開！おばちゃん、ピカデリー梅田、下落合の母、板尾の嫁、新おにぃ、といった名物キャラからヘイポー、ヨシノブといったスタッフまで、一体、これまでに、どんな名シーンを生み出してきたのか!?　毎年、年末に行われる「笑ってはいけない…」シリーズやレギュラー放送の中から選りすぐりの名場面を一挙大放出！！,1,2010-11-28-1
2010-12-05,今週のガキの使いは、「怒り王」「お腹痛い王」に続く、シリーズ第３弾「クリスとイっちゃった王」。なんと、今回は、後輩や芸人仲間を相手にクリス松村とベットを共にしてしまったという演技で競う。はじめに挑戦するのはガキメンバーの遠藤、さらに有吉やカンニング竹山といったメンバーが、それぞれの性格を生かして挑戦！クリスとベットインしてしまった事をどう芸人仲間に告白するのか！？そして、聞いた相手は果たして！？,1,2010-12-05-1
