File Name,Extension,File Size (bytes),Duration,Bitrate,Bitrate _b/s,Video Format,Colour Primaries,Frame Width,Frame Height,Framerate,Framerate Dropframe,Framerate Mode,Scan Type,Scan Order,Pixel Aspect Ratio,Bit Depth,Audio Format,Channel(s),Channel Layout,Audio Bitrate,Audio Bitrate _b/s,Sampling Rate,Compression Mode
ダウンタウンのガキの使いやあらへんで!! 1989.10.03 第0001回 偉いさん・医者・クイズ [DivX502 320x240 23m57s],avi,112976124,00:23:57.770,628619,629 kb/s,MPEG-4 Visual,,320,240,29.970,(30000/1001),,Progressive,,1.000,8 bits,MPEG Audio,1,,48000,48.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 1989.10.03 第0001回 医者・クイズ,mp4,208891979,00:23:40.053,1176812,1 177 kb/s,AVC,BT.601 NTSC,544,408,29.970,(30000/1001),CFR,Progressive,,1.000,8 bits,AAC,2,L R,63871,63.9 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 1989.10.10 第0002回 難民・てるおはるお・さかさことばクイズ,mp4,208074489,00:23:34.549,1176768,1 177 kb/s,AVC,BT.601 NTSC,544,408,29.970,(30000/1001),CFR,Progressive,,1.000,8 bits,AAC,2,L R,63844,63.8 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 1989.10.10 第0002回 難民・てるおはるお・さかさことばクイズ [DivX502 320x240 24m01s],avi,102316512,00:24:01.774,567726,568 kb/s,MPEG-4 Visual,,320,240,29.970,(30000/1001),,Progressive,,1.000,8 bits,MPEG Audio,1,,48000,48.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 1989.10.17 第0003回 「あ」研究家 [DivX502 320x240 24m02s],avi,102160860,00:24:02.274,566665,567 kb/s,MPEG-4 Visual,,320,240,29.970,(30000/1001),,Progressive,,1.000,8 bits,MPEG Audio,1,,48000,48.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 1989.10.17 第0004回 テレビアニメ,mp4,212241847,00:24:02.581,1177012,1 177 kb/s,AVC,BT.601 NTSC,544,408,29.970,(30000/1001),CFR,Progressive,,1.000,8 bits,AAC,2,L R,63853,63.9 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 1989.10.24 第0004回 テレビアニメ [DivX502 320x240 24m02s],avi,102150776,00:24:02.274,566610,567 kb/s,MPEG-4 Visual,,320,240,29.970,(30000/1001),,Progressive,,1.000,8 bits,MPEG Audio,1,,48000,48.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 1989.10.31 第0005回 心霊写真・こわい話,mp4,212172733,00:24:02.069,1177046,1 177 kb/s,AVC,BT.601 NTSC,544,408,29.970,(30000/1001),CFR,Progressive,,1.000,8 bits,AAC,2,L R,63847,63.8 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 1989.10.31 第0005回 心霊写真・こわい話 [DivX502 320x240 24m01s],avi,108381370,00:24:01.774,601378,601 kb/s,MPEG-4 Visual,,320,240,29.970,(30000/1001),,Progressive,,1.000,8 bits,MPEG Audio,1,,48000,48.0 kb/s,48.0 kHz,Lossy
ダウンタウンのガキの使いやあらへんで!! 1989.11.07 第0006回 暴走族・誘拐 [DivX502 320x240 24m02s],avi,113859420,00:24:02.775,631336,631 kb/s,MPEG-4 Visual,,320,240,29.970,(30000/1001),,Progressive,,1.000,8 bits,MPEG Audio,1,,48000,48.0 kb/s,48.0 kHz,Lossy
