Date,Episode,Title,Content
1991/01/03,#SP,,オープニングトーク（ボツになった企画）／ことわざ講座「ペンは剣よりも強し」「二兎を追う者は一兎をも得ず」「心頭滅却すれば火もまた涼し」／浪花のどてら兄弟／ヅラ騎馬戦／お絵かきしましょ　マジでマジで／ギャグ講座（Lesson12 故人にギャグを学ぶ）／ナイス！Cooking／世界記録樹立か？世紀のドミノ倒しに挑戦！／世界一歩くのが遅いジジイ／ダウンタウン杯争奪　カバディ対抗戦／実験クイズ
1991/05/28,#SP,,脱出／オヤッさん／ことわざ講座「残りものには福がある」／戦場の友情／寒むぅ…／タコ！／アパート…／お絵かきしましょ　マジでマジで／コンビニエンスストアー…／オヤジ／実験クイズ／いらっしゃい！／どうだ！？／ことわざ講座「虎穴に入らずんば虎子を得ず」／お父さん／さんま／今晩は／昨日／赤ちゃん／たのむ／南蛮渡来／ことわざ講座「出る杭は打たれる」／ニワトリ／ベッド売場／火曜サスペンス劇場　炎の疑惑／エンディング
1991/07/23,#SP,,脅迫…／ちょっと待って／パパ／ことわざ講座「まな板の上のコイ」／今晩は!!／あ・つ・い！／うちの父…（大先生）／朝／数字を当てましょ　マジでマジで／父さんは／凶器／半蔵と月影…／実験クイズ／ワカメ／This is…（Miss.エロティカ）／朝食／ねこまんま／ご飯にみそ汁／吐け！／脅迫…②／助けてくれ／2001年／香典／白髪／火曜サスペンス劇場　殺意のロープ／Down Town
1991/12/08,#001,,密談/マリアちゃん/静かに～！/Bed/竹やぶ/は～い！/Tarzan/中途採用/すんげえ/初めて…/先生/はじめて/実験クイズ/練習/すいません/趣味/DiーYa!/ここは…/お願い/ご注文は？/はじめまして/あのォご注文は？/第１回ヅラリンピック/こんにちは
1991/12/15,#002,,日帰りの戦士ブーメラン君/ウルトラさん/いいですか/隊長！/占い/カード/お前も/皆さん/実は…/やっぱりマリアちゃん/うちも…/家康殿/いいわよね/ケンシロー/ヤギのお医者さん/メッセージ/鈴木様/すいません/大先生/それで
1991/12/22,#003,,ウィッキーさん（大先生③）/スペシウム光線（ウルトラさん③）/ことわざ講座②（目は口ほどにものを言う）/Jungle/オレは……/敏腕ディレクター（敏腕ディレクター①）/やめとこや/交換条件/お絵かきしましょ　マジでマジで①（ゲスト：仲村トオル、酒井法子）/なに言ってんのョ！/ 朝礼/いいか/どうだった/相部屋（プロペラ社長②）/America/ゴキブリ/男の美学　ハードボイルド入門/正月
1992/01/12,#004,,E.T/ごっつ時代劇スペシャル/M79星雲（ウルトラさん④）/どうしてマリアちゃん（マリアちゃん③）/Kodomo/Kamakiri/ただいま/ ねえ/御注文/クイズ10人いっしょ　なにが？なにが？/みかん/なんで…/日曜日/この子も…/た、隊長！/ボク達/お父さん/ ことわざ講座③（犬も歩けば棒にあたる）/Rouge/敏腕（敏腕ディレクター②）/むかしむかし
1992/01/19,#005,,初舞台/諸君！/せやからマリアちゃん（マリアちゃん④）/SPY（プロペラ社長③）/思春期（ウルトラさん⑤）/Office/ 実験クイズ②（ゲスト：風見しんご、西村知美、和田忠太）/天気予報（敏腕ディレクター③）/いらっしゃいませ！/世紀の対決!!/ 集金（大先生④）/ご存知！ハマダ芸能社物語①（板男夫婦が帰ってきた！の巻）/おしくらまんじゅう/落ちつけ
1992/01/26,#006,,すいませんでした（ウソよねェ～①）/やめろ！/ザンゲ/どんなんもマリアちゃん（マリアちゃん⑤）/あ～ッ!!/どしたの？/ ことわざ講座④（柔よく剛を制す）/ご存知！ハマダ芸能社物語②（オイシイ仕事がやって来たの巻）/本番!!（大先生⑤）/大丈夫/またか!!/ ごっつ入れ歯スペシャルショー
1992/02/02,#007,,ラッキー！/不運にも（ウルトラさん⑥）/なんなんなあに　何太郎君①（首まで土に埋める）/ 数字を当てましょ　マジでマジで②（ゲスト：オスマン・サンコン）/のっぺら兄弟/最低/ケンシロウ　再び（ケンシロー②）/ 仕事とは…/鹿狩り/パラシュート/鼻緒/節分（プロペラ社長④）/ご存知！ハマダ芸能社物語③（新婚夫婦に危機迫る！の巻）/ エンディング（スタッフジャンパープレゼント）
