show_id,show,show_ja,date,episode,segment,name_ja,metadata,knightscoop_host,knightscoop_detective,knightscoop_location
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-05,1,1,中国発、究極の毛はえ薬,"ホスト:福島正, 探偵: 嘉門達夫, 位置: ",福島正,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-05,1,2,JR安売りチケットの謎,"ホスト:福島正, 探偵: 越前屋俵太, 位置: ",福島正,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-05,1,3,道頓堀に沈むサンダース氏を救え,"ホスト:福島正, 探偵: 槍魔栗三助, 位置: ",福島正,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-12,2,1,ホワイトデーには何を贈るか?,"ホスト:中島健仁, 探偵: 上海太郎, 位置: ",中島健仁,上海太郎,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-12,2,2,パンク教師の謎,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-12,2,3,テレクラの実態を探る,"ホスト:中島健仁, 探偵: 田中康江, 位置: ",中島健仁,田中康江,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-19,3,1,ファースト・キスの美学,"ホスト:岸本裕一, 探偵: 嘉門達夫, 位置: ",岸本裕一,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-19,3,2,深夜バスのウワサは本当か?,"ホスト:岸本裕一, 探偵: 槍魔栗三助, 位置: ",岸本裕一,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-19,3,3,気の長い人はどこまで気が長いのか?,"ホスト:岸本裕一, 探偵: 越前屋俵太, 位置: ",岸本裕一,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-26,4,1,咳止め液中毒を探る,"ホスト:中島健仁, 探偵: 嘉門達夫, 位置: ",中島健仁,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-26,4,2,金券ショップ詐欺事件を追う,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-03-26,4,3,サザエさんの家に仏壇はあるか?,"ホスト:中島健仁, 探偵: 田中康江, 位置: ",中島健仁,田中康江,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-02,5,1,消えゆくスピッツ,"ホスト:廣田君美, 探偵: 越前屋俵太, 位置: ",廣田君美,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-02,5,2,海外修学旅行の実態,"ホスト:廣田君美, 探偵: 嘉門達夫, 位置: ",廣田君美,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-02,5,3,神戸市須磨区・滝川高のサンダースの正体,"ホスト:廣田君美, 探偵: 槍魔栗三助, 位置: ",廣田君美,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-16,6,1,大阪の水はなぜまずいのか?,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-16,6,2,つちのこの正体をあばく,"ホスト:中島健仁, 探偵: 槍魔栗+上海, 位置: ",中島健仁,槍魔栗+上海,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-16,6,3,花見の科学,"ホスト:中島健仁, 探偵: 嘉門達夫, 位置: ",中島健仁,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-23,7,1,中学生の丸刈りどう思う?,"ホスト:西村真悟, 探偵: 越前屋俵太, 位置: ",西村真悟,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-23,7,2,幸福のペンダントの効き目,"ホスト:西村真悟, 探偵: 嘉門達夫, 位置: ",西村真悟,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-23,7,3,サンダース氏救出作戦パート3,"ホスト:西村真悟, 探偵: 槍魔栗三助, 位置: ",西村真悟,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-30,8,1,なぜ女性の胸は左の方が大きいか?,"ホスト:中島健仁, 探偵: 桂文福, 位置: ",中島健仁,桂文福,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-30,8,2,ニセブランド商品の見分け方,"ホスト:中島健仁, 探偵: 嘉門達夫, 位置: ",中島健仁,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-04-30,8,3,街は酔っぱらいの寝床か?,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-07,9,1,国道一号線三重駐車の謎,"ホスト:中島健仁, 探偵: 上岡+誠, 位置: ",中島健仁,上岡+誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-07,9,2,深夜ギャルの実態,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-07,9,3,消えゆくシリーズ・赤チンはどこへ行った?,"ホスト:中島健仁, 探偵: 田中康江, 位置: ",中島健仁,田中康江,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-14,10,1,現代の都会人は老人に親切か?,"ホスト:横山ノック, 探偵: 槍魔栗三助, 位置: ",横山ノック,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-14,10,2,青バナ小僧はどこへ行った?,"ホスト:横山ノック, 探偵: 嘉門達夫, 位置: ",横山ノック,嘉門達夫,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-14,10,3,探偵会議,"ホスト:横山ノック, 探偵: 全員, 位置: ",横山ノック,全員,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-21,11,1,女性の小指の爪はなくなるのか?,"ホスト:中島健仁, 探偵: 越前屋俵太, 位置: ",中島健仁,越前屋俵太,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-05-21,11,2,瀬戸大橋の島の騒音の問題,"ホスト:中島健仁, 探偵: 槍魔栗三助, 位置: ",中島健仁,槍魔栗三助,
