,Unnamed: 0,folder,channel,type,filename,path,subbed,language,name,filetype,hardsub,episode,permalink,name_en,date,segment,name_ja,episode_id,date_id,peertubeid,cct_id,newpath,uploaded,langcheck,in_en,subs_burnt
0,3755,raw,lincoln,episode,Lincoln #016 (2002.02.21) - Hero dress up.mp4,raw/lincoln/episode/Lincoln #016 (2002.02.21) - Hero dress up.mp4,False,ja,Lincoln #016 2002.02.21 - Hero dress up,mp4,False,16,16-1-ja,Hero dress up,2002-02-21,0,,lincoln16_0,lincoln2002-02-21_0,lincoln-16-1-ja,lincoln_20020221_16_0,episode/lincoln_20020221_16_0_ja.mp4,False,lincoln2002-02-21,False,True
1,3741,raw,lincoln,episode,Lincoln #001 (2005.10.18) - The beginning.mp4,raw/lincoln/episode/Lincoln #001 (2005.10.18) - The beginning.mp4,False,ja,Lincoln #001 2005.10.18 - The beginning,mp4,False,1,1-1-ja,The beginning,2005-10-18,0,,lincoln1_0,lincoln2005-10-18_0,lincoln-1-1-ja,lincoln_20051018_1_0,episode/lincoln_20051018_1_0_ja.mp4,False,lincoln2005-10-18,False,True
2,3742,raw,lincoln,episode,"Lincoln #002 (2005.10.25) - Surprise Dinner,  Jump Rope Game.mp4","raw/lincoln/episode/Lincoln #002 (2005.10.25) - Surprise Dinner,  Jump Rope Game.mp4",False,ja,"Lincoln #002 2005.10.25 - Surprise Dinner,  Jump Rope Game",mp4,False,2,2-1-ja,"Surprise Dinner,  Jump Rope Game",2005-10-25,0,,lincoln2_0,lincoln2005-10-25_0,lincoln-2-1-ja,lincoln_20051025_2_0,episode/lincoln_20051025_2_0_ja.mp4,False,lincoln2005-10-25,False,True
3,3743,raw,lincoln,episode,Lincoln #003 (2005.11.01) - Friendly Downtown Iwao Nozomu.mp4,raw/lincoln/episode/Lincoln #003 (2005.11.01) - Friendly Downtown Iwao Nozomu.mp4,False,ja,Lincoln #003 2005.11.01 - Friendly Downtown Iwao Nozomu,mp4,False,3,3-1-ja,Friendly Downtown Iwao Nozomu,2005-11-01,0,,lincoln3_0,lincoln2005-11-01_0,lincoln-3-1-ja,lincoln_20051101_3_0,episode/lincoln_20051101_3_0_ja.mp4,False,lincoln2005-11-01,False,True
4,3744,raw,lincoln,episode,Lincoln #004 (2005.11.08) - Best 10 material.mp4,raw/lincoln/episode/Lincoln #004 (2005.11.08) - Best 10 material.mp4,False,ja,Lincoln #004 2005.11.08 - Best 10 material,mp4,False,4,4-1-ja,Best 10 material,2005-11-08,0,,lincoln4_0,lincoln2005-11-08_0,lincoln-4-1-ja,lincoln_20051108_4_0,episode/lincoln_20051108_4_0_ja.mp4,False,lincoln2005-11-08,False,True
5,3745,raw,lincoln,episode,Lincoln #005 (2005.11.15) - Summers bad breath check.mp4,raw/lincoln/episode/Lincoln #005 (2005.11.15) - Summers bad breath check.mp4,False,ja,Lincoln #005 2005.11.15 - Summers bad breath check,mp4,False,5,5-1-ja,Summers bad breath check,2005-11-15,0,,lincoln5_0,lincoln2005-11-15_0,lincoln-5-1-ja,lincoln_20051115_5_0,episode/lincoln_20051115_5_0_ja.mp4,False,lincoln2005-11-15,True,True
6,3746,raw,lincoln,episode,Lincoln #006 (2005.11.22) - Friendly Downtown Bibiru Oki.mp4,raw/lincoln/episode/Lincoln #006 (2005.11.22) - Friendly Downtown Bibiru Oki.mp4,False,ja,Lincoln #006 2005.11.22 - Friendly Downtown Bibiru Oki,mp4,False,6,6-1-ja,Friendly Downtown Bibiru Oki,2005-11-22,0,,lincoln6_0,lincoln2005-11-22_0,lincoln-6-1-ja,lincoln_20051122_6_0,episode/lincoln_20051122_6_0_ja.mp4,False,lincoln2005-11-22,False,True
7,3747,raw,lincoln,episode,Lincoln #007 (2005.11.29) - Pie or Kiss.mp4,raw/lincoln/episode/Lincoln #007 (2005.11.29) - Pie or Kiss.mp4,False,ja,Lincoln #007 2005.11.29 - Pie or Kiss,mp4,False,7,7-1-ja,Pie or Kiss,2005-11-29,0,,lincoln7_0,lincoln2005-11-29_0,lincoln-7-1-ja,lincoln_20051129_7_0,episode/lincoln_20051129_7_0_ja.mp4,False,lincoln2005-11-29,True,True
8,3748,raw,lincoln,episode,Lincoln #008 (2005.12.06) - Bowling & amusement park.mp4,raw/lincoln/episode/Lincoln #008 (2005.12.06) - Bowling & amusement park.mp4,False,ja,Lincoln #008 2005.12.06 - Bowling & amusement park,mp4,False,8,8-1-ja,Bowling & amusement park,2005-12-06,0,,lincoln8_0,lincoln2005-12-06_0,lincoln-8-1-ja,lincoln_20051206_8_0,episode/lincoln_20051206_8_0_ja.mp4,False,lincoln2005-12-06,False,True
9,3749,raw,lincoln,episode,Lincoln #009 (2005.12.13) - Royalty's party.mp4,raw/lincoln/episode/Lincoln #009 (2005.12.13) - Royalty's party.mp4,False,ja,Lincoln #009 2005.12.13 - Royalty's party,mp4,False,9,9-1-ja,Royalty's party,2005-12-13,0,,lincoln9_0,lincoln2005-12-13_0,lincoln-9-1-ja,lincoln_20051213_9_0,episode/lincoln_20051213_9_0_ja.mp4,False,lincoln2005-12-13,False,True
