,date,description_ja,episode,segment,show_id,show_ja,show
0,2004-12-28,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
佐田正樹（バッドボーイズ）",1,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
1,2005-03-29,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
黒田有（メッセンジャー）",2,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
2,2005-09-27,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
ケンドーコバヤシ
高橋茂雄（サバンナ）
川島　明（麒麟）",3,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
3,2005-12-27,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
ケンドーコバヤシ
有田哲平（くりぃむしちゅー）
矢作　兼（おぎやはぎ）",4,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
4,2006-03-28,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
ケンドーコバヤシ
徳井義実（チュートリアル）
綾部祐二（ピース）",5,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
5,2006-06-26,"松本人志
千原ジュニア（千原兄弟）
ほっしゃん。
宮川大輔
河本準一（次長課長）
ケンドーコバヤシ",6,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
6,2006-09-26,"松本人志
千原ジュニア（千原兄弟）
宮川大輔
後藤輝基（フットボールアワー）
トシ（タカアンドトシ）
塚地武雅（ドランクドラゴン）
ハチミツ二郎（東京ダイナマイト）
チャド・マレーン（ジパング上陸作戦）",7,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
7,2006-12-29,"● プレーヤー
松本人志、千原ジュニア（千原兄弟）、ほっしゃん。、宮川大輔、河本準一（次長課長）、ケンドーコバヤシ、関根　勤、水道橋博士（浅草キッド）、小沢一敬（スピードワゴン）、田村　裕（麒麟）
● 超豪華ゲスト
浅野忠信、郷ひろみ、片瀬那奈、黒谷友香、杉本　彩、原沙知絵、山田　優",8,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
8,2007-03-27,"松本人志
千原ジュニア（千原兄弟）
宮川大輔
有野晋哉（よゐこ）
山崎弘也（アンタッチャブル）
吉田敬（ブラックマヨネーズ）
関暁夫（ハローバイバイ）
西野亮廣（キングコング）",9,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
9,2007-06-02,"● プレーヤー
松本人志、千原ジュニア（千原兄弟）、宮川大輔、ほっしゃん。、河本準一（次長課長）、ケンドーコバヤシ、関根勤、木村祐一、東野幸治、宮迫博之（雨上がり決死隊）、大竹一樹（さまぁ～ず）、黒田有（メッセンジャー）、小籔千豊、小杉竜一（ブラックマヨネーズ）、後藤輝基（フットボールアワー）
● 超豪華ゲスト
秋元康、あびる優、安倍なつみ、糸井重里、伊藤裕子、石坂浩二、上原さくら、宇梶剛士、大沢あかね、小倉優子、梶原しげる、片瀬那奈、北島康介、ギャル曽根、黒谷友香、郷ひろみ、小林恵美、佐々木健介、佐田真由美、佐藤藍子、杉崎美香、杉本彩、鈴木杏樹、高樹千佳子、滝沢沙織、田丸麻紀、つんく♂、土岐田麗子、時東ぁみ、戸田菜穂、夏川純、原沙知絵、東原亜希、平山あや、福永ちな、藤井悠、北斗晶、保阪尚希、松井絵里奈、Mie、美川憲一、三津谷葉子、hiroko（mihimaruGT）、miyake（mihimaruGT）、矢口真里、安めぐみ、安田美沙子、山田優、優木まおみ、理衣、若槻千夏　（50音順）",10,0,suberanaihanashi,松本人志のすべらない話,SUBERANAI HANASHI
