,date,name_ja,description,show_id,show,show_ja
0,2014-04-23,芸能人たちが持ち寄った説を検証する新番組,競歩の選手 全員 他の競技で挫折した人説 ・ スケバン 絶滅説 ・ 北朝鮮 実はスゴい説 ・ 引退後の力士の髪型が総じておかしいのはマゲで毛穴が後ろに持っていかれているから説 ・ 出産の痛み 未だ芯喰った喩え出ていない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
1,2014-04-30,Episode 002,"SFの未来 読み甘い説 ・ タレント本 出すと危険説 ・ 駄菓子 増税で""あたり""減ってる説 ・ ボディビルダー かなづち説",suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
2,2014-05-07,Episode 003,こぶとりじいさんのこぶの価値観 めちゃくちゃ説 ・ 金太郎のストーリー 誰も知らない説 ・ 昔話にコンプライアンスの波 押し寄せてる説 ・ ホラー映画 製作者の都合でガチガチ説 ・ 街のとてもやっていけてるとは思えない店 実は地主説 ・ 銭湯に桶持ってくる人 絶滅説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
3,2014-05-21,Episode 004,芸能界一肌がキレイなのは綾瀬はるか説 ・ 勝俣州和 ファン0人説 ・ 理科室の人体模型 ただのインテリア説 ・ ロメロスペシャル 相手の協力なくして成立しない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
4,2014-05-28,Episode 005,裁判官 笑いにめちゃくちゃ強い説 ・ 鎖鎌 最弱説 ・ かえるぴょこぴょこ…難しすぎる説 ・ 冬眠から目覚めた熊 その日の夜はさすがに眠くならない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
5,2014-06-04,Episode 006,ウド鈴木 いい人行き過ぎてクレイジー説 ・ 勝俣州和の名前 漢字で書ける人0人説 ・ バケツリレー 実は効率悪いんじゃないか説 ・ ストッキング被って水に落ちるやつ 誰がやっても面白い説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
6,2014-06-11,Episode 007,貧富の差 拡大してる説 ・ バラエティ番組の黒人枠 向こう10年ボビー説 ・ 下駄 世界一走りにくい履物説 ・ 二宮という人のあだ名 100%ニノ説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
7,2014-06-18,Episode 008,くまモンの発音で熊本が割れている説 ・ 営業芸人No.1はテツandトモ説 ・ 福男 選ばれた時点でその年の運使い果たしてる説 ・ 結婚式でコブクロの「永遠にともに」使う人 絶滅説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
8,2014-07-09,Episode 009,宇多田ヒカルの歌唱力 頭2つ抜けてる説 ・ ビートたけし 本気で弟子を売る気ない説 ・ 狩野英孝 実は大喜利最強説 ・ 野球モノマネ芸人 リアルにバッティング上手い説 ・ ランク王国のテーマ どうでもよすぎる説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
9,2014-07-16,Episode 010,100歳の人の話 今聞いておかないと後悔する説 ・ コロッケ にらめっこ最強説 ・ 馬の前にニンジンをぶらさげても実際には走らないんじゃないか説 ・ 勉三さんを超える浪人生など存在しない説,suiyoubinodowntown,WEDNESDAY DOWNTOWN,水曜日のダウンタウン
