date,episode,segment,name_ja,name_en,description_ja,metadata,subbed,ccturl,panelist_1,panelist_2,panelist_3,panelist_4,panelist_5
2014-04-23,1,1,競歩の選手 全員 他の競技で挫折した人説,,,,FALSE,,,,,,
2014-04-23,1,2,スケバン 絶滅説,,,,FALSE,,,,,,
2014-04-23,1,3,北朝鮮 実はスゴい説,,,,FALSE,,,,,,
2014-04-23,1,4,引退後の力士の髪型が総じておかしいのはマゲで毛穴が後ろに持っていかれているから説,,,,FALSE,,,,,,
2014-04-23,1,5,出産の痛み 未だ芯喰った喩え出ていない説,,,,FALSE,,,,,,
2014-04-30,2,1,SFの未来 読み甘い説,,,,FALSE,,,,,,
2014-04-30,2,2,タレント本 出すと危険説,,,,FALSE,,,,,,
2014-04-30,2,3,"駄菓子 増税で""あたり""減ってる説",,,,FALSE,,,,,,
2014-04-30,2,4,ボディビルダー かなづち説,,,,FALSE,,,,,,
2014-05-07,3,1,こぶとりじいさんのこぶの価値観 めちゃくちゃ説,,,,FALSE,,,,,,
2014-05-07,3,2,金太郎のストーリー 誰も知らない説,,,,FALSE,,,,,,
2014-05-07,3,3,昔話にコンプライアンスの波 押し寄せてる説,,,,FALSE,,,,,,
2014-05-07,3,4,ホラー映画 製作者の都合でガチガチ説,,,,FALSE,,,,,,
2014-05-07,3,5,街のとてもやっていけてるとは思えない店 実は地主説,,,,FALSE,,,,,,
2014-05-07,3,6,銭湯に桶持ってくる人 絶滅説,,,,FALSE,,,,,,
2014-05-21,4,1,芸能界一肌がキレイなのは綾瀬はるか説,,,,FALSE,,,,,,
2014-05-21,4,2,勝俣州和 ファン0人説,,,,FALSE,,,,,,
2014-05-21,4,3,理科室の人体模型 ただのインテリア説,,,,FALSE,,,,,,
2014-05-21,4,4,ロメロスペシャル 相手の協力なくして成立しない説,,,,FALSE,,,,,,
2014-05-28,5,1,裁判官 笑いにめちゃくちゃ強い説,,,,FALSE,,,,,,
2014-05-28,5,2,鎖鎌 最弱説,,,,FALSE,,,,,,
2014-05-28,5,3,かえるぴょこぴょこ…難しすぎる説,,,,FALSE,,,,,,
2014-05-28,5,4,冬眠から目覚めた熊 その日の夜はさすがに眠くならない説,,,,FALSE,,,,,,
2014-06-04,6,1,ウド鈴木 いい人行き過ぎてクレイジー説,,,,FALSE,,,,,,
2014-06-04,6,2,勝俣州和の名前 漢字で書ける人0人説,,,,FALSE,,,,,,
2014-06-04,6,3,バケツリレー 実は効率悪いんじゃないか説,,,,FALSE,,,,,,
2014-06-04,6,4,ストッキング被って水に落ちるやつ 誰がやっても面白い説,,,,FALSE,,,,,,
2014-06-11,7,1,貧富の差 拡大してる説,,,,FALSE,,,,,,
